        5.02500   265815.60283688     8683.81722838
        5.07500   252765.95744681     8467.97818814
        5.12500   256737.58865248     8534.24621645
        5.17500   271489.36170213     8776.00470823
        5.22500   267517.73049645     8711.57590513
        5.27500   270638.29787234     8762.23841786
        5.32500   263829.78723404     8651.31953587
        5.37500   269503.54609929     8743.84964960
        5.42500   258156.02836879     8557.78900936
        5.47500   253049.64539007     8472.72880741
        5.52500   245106.38297872     8338.68848607
        5.57500   231489.36170213     8103.74857140
        5.62500   246524.82269504     8362.78182864
        5.67500   245957.44680851     8353.15283083
        5.72500   262978.72340426     8637.35452348
        5.77500   244539.00709220     8329.03163456
        5.82500   243120.56737589     8304.84037918
        5.87500   232624.11347518     8123.58641888
        5.92500   251063.82978723     8439.41831526
        5.97500   233191.48936170     8133.48719820
        6.02500   241134.75177305     8270.85375155
        6.07500   236028.36879433     8182.81140531
        6.12500   241418.43971631     8275.71752954
        6.17500   227234.04255319     8028.92011239
        6.22500   229503.54609929     8068.91498061
        6.27500   245390.07092199     8343.51272048
        6.32500   228368.79432624     8048.94238815
        6.37500   232340.42553191     8118.63150142
        6.42500   238297.87234043     8222.05772833
        6.47500   229503.54609929     8068.91498061
        6.52500   230354.60992908     8083.86204186
        6.57500   216170.21276596     7831.02056275
        6.62500   244539.00709220     8329.03163456
        6.67500   224680.85106383     7983.68639970
        6.72500   232907.80141844     8128.53831597
        6.77500   220992.90780142     7917.89261671
        6.82500   231489.36170213     8103.74857140
        6.87500   220425.53191489     7907.72190909
        6.92500   240000.00000000     8251.36997007
        6.97500   218439.71631206     7872.02095064
        7.02500   230921.98581560     8093.81141429
        7.07500   223546.09929078     7963.50005539
        7.12500   219290.78014184     7887.34114863
        7.17500   231773.04964539     8108.71258324
        7.22500   228368.79432624     8048.94238815
        7.27500   205673.75886525     7638.53164133
        7.32500   232907.80141844     8128.53831597
        7.37500   228085.10638298     8043.94149149
        7.42500   208226.95035461     7685.79698391
        7.47500   216737.58865248     7841.29075806
        7.52500   217872.34042553     7861.79089960
        7.57500   228368.79432624     8048.94238815
        7.62500   236399.60435213     5779.61320792
        7.67500   234703.97060902     5758.84806339
        7.72500   220291.08379257     5579.22481910
        7.77500   227638.83001272     5671.50833415
        7.82500   223964.95690264     5625.55581105
        7.87500   228062.73844850     5676.78661201
        7.92500   224530.16815035     5632.64983128
        7.97500   222410.62597146     5606.00096789
        8.02500   222551.92878338     5607.78149865
        8.07500   218595.45004946     5557.71101859
        8.12500   230040.97781546     5701.35396406
        8.17500   232019.21718242     5725.81590769
        8.22500   229758.37219161     5697.85082765
        8.27500   215062.87975131     5512.62094196
        8.32500   224671.47096227     5634.42194076
        8.37500   223258.44284301     5616.67568584
        8.42500   223117.14003109     5614.89797550
        8.47500   216193.30224671     5527.08978822
        8.52500   233997.45654939     5750.17378815
        8.57500   223258.44284301     5616.67568584
        8.62500   227073.61876501     5664.46297946
        8.67500   218736.75286138     5559.50701509
        8.72500   221280.20347605     5591.73631126
        8.77500   219584.56973294     5570.27083352
        8.82500   221421.50628798     5593.52138276
        8.87500   219019.35848523     5563.09726862
        8.92500   213791.15444397     5496.29796207
        8.97500   219019.35848523     5563.09726862
        9.02500   224812.77377420     5636.19349306
        9.07500   215769.39381094     5521.66841390
        9.12500   224671.47096227     5634.42194076
        9.17500   222410.62597146     5606.00096789
        9.22500   218171.54161368     5552.31954342
        9.27500   220573.68941642     5582.80239230
        9.32500   217182.42193020     5539.71902894
        9.37500   215486.78818708     5518.05120525
        9.42500   224812.77377420     5636.19349306
        9.47500   217041.11911827     5537.91661502
        9.52500   217888.93598983     5548.72231626
        9.57500   221704.11191183     5597.08981781
        9.62500   215204.18256323     5514.43162388
        9.67500   220573.68941642     5582.80239230
        9.72500   216193.30224671     5527.08978822
        9.77500   220997.59785220     5588.16445762
        9.82500   223117.14003109     5614.89797550
        9.87500   222693.23159531     5609.56146426
        9.92500   223823.65409072     5623.78090777
        9.97500   222693.23159531     5609.56146426
       10.02500   222269.32315953     5604.21987143
       10.07500   220856.29504027     5586.37767437
       10.12500   225236.68220998     5641.50481212
       10.17500   220714.99222835     5584.59031945
       10.22500   219584.56973294     5570.27083352
       10.27500   228124.12636287     4610.68563111
       10.32500   227099.05880160     4600.31499290
       10.37500   234088.15581027     4670.56717403
       10.42500   231851.64476750     4648.20199919
       10.47500   231012.95312646     4639.78726475
       10.52500   237629.29829466     4705.76131691
       10.57500   231292.51700680     4642.59387087
       10.62500   237815.67421489     4707.60635181
       10.67500   235081.87621427     5711.66128983
       10.72500   233416.59728004     5691.39513028
       10.77500   246322.50902026     5846.62071411
       10.82500   253261.17124618     5928.39560458
       10.87500   247293.92173189     5858.13791818
       10.92500   247571.46822093     5861.42439132
       10.97500   245073.54981959     5831.77945863
       11.02500   248126.56119900     5867.99181567
